=== google-t5/t5-base ===
you get some synergy of ideas                     Sie erhalten eine Synergie von Ideen              und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Ich weiß aber nicht, wie es sich anfühlt —        und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       sie lernen Werkzeuge zur Lösung ihrer Familienkonflikte zu nutzenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
how ugly such a regime was                        wie ugly dieses Regime war                        wie gräßlich so ein Regime ist                    
that now characterizes all of humanity.           das, was die Menschheit seither prägt.            der nun die ganze Menschheit charakterisiert.     
And that's despite the fact that a supernova is so bright,Dies trotz der Tatsache, dass eine Supernova so hell ist,So, könnten wir jetzt die Lichter wieder einschalten, bitte? Danke.
We have only been discussing and consumed         Wir haben nur darüber gesprochen und getrunken    Wir haben uns nur mit kräftezehrenden Diskussionen
So let's start getting into the countries         So geht es in die Länder                          Also schauen wir uns die Länder an,               
\"Hey, you've got to remember to pick up bananas on your way home.\"Hey, Sie müssen unbedingt Bananen auf dem Weg nach Hause kaufen.dass mir diese kleine Stimme sagt:                
I am often so disappointed                        Ich bin oft so erschöpft                          Ich bin so oft enttäuscht,                        
He didn't tell. He asked questions.               Er hat keine Fragen gestellt.                     im Kern des Betriebssystems                       
And that potential, that powerful potential,      Das Potenzial, das beträchtliche Potenzial,       Und dieses Potential, dieses mächtige Potential,  
thoughts are bouncing around.                     Gedanken kreisen herum.                           die Gedanken springen umher.                      
If we were to kill the language, we'd have to find an identity.Wenn wir die Sprache töten würden, müssten wir eine Identität finden.Etwas sehr Einfaches und doch zugleich Kreatives und Überzeugendes.
is after all talk about design, too. This was     Es ist nach wie vor auch über die Gestaltung zu sprechen.letztlich auch über Design reden. Also, das hier  
Now, how much computation does the brain do?      Wie viel Rechenleistung hat das Gehirn?           Also, wieviel Rechenkraft besitzt denn das Gehirn?
something that caused them to wonder              etwas, das sie erschüttert hat                    etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Daddy's got you. Das ist all that's important.    Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Ich habe ein Problem mit der Zukunftsvision       Ich kann mir schwer vorstellen,                   
is in the core of our being, right?               ist im Grunde unseres Seins, right?               im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               in der Annahme dieser besonderen Niederlage       zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich habe während des Tages beschlossen,           Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    zu diesen neuen Entwicklungen.                    mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilitydas erste Schritt zur Verantwortung ist           ist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Das ist die Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       das den Planeten austrocknet.                     den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       Dioscorides wurde in 65 A.D. beschrieben.         als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das ist nicht 30 Prozent, sondern thirty percent a year.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksWie wir herausgefunden haben, sind es etwa zwei bis drei Millionen Disks.Soweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Unification,                  kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis Sie feststellen, dass Sie sehr viel sind,     Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            peer pressure used to help patients --            Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?in detailliöser Weise beschreiben, wie Sie bei Kontrollen besser sind als Sie?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       Es gibt ein paar Pakistaner in dieser Gegend.     es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           zu einem lichten Kontinent.\"                     in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN sprach davon, dass die Palestinianer in den Straßen tanzten.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,Wenn Sie Massenmarkterfolg oder Massenmarktanerkennung einer Idee wollen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Realität der Anestesie. Die Lungen können gestört werden.Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Erkennen den Zustand, in dem wilderness geschützt istDer Sumpf wird Sie verändern, das verspreche ich. 
if you're going to have the privilege             wenn Sie das Recht haben                          dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Das \"Internet\" hat zwei Internets.              Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Gegend ist extrem windig und sehr kalt.       Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        beginnt nicht mit Ideen oder Fakten oder Daten.   nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe, es geht nicht weiter.                  Ich hoffe, Sie ist nicht beendet.                 
